CpG,logFC,P.Value,adj.P.Val,chr,pos,genes,UCSC_RefGene_Group,Relation_to_Island,n_genes,on_candidate,candidate_genes_hit
cg25142466,-0.074402246862831,0.00011991807992005,0.766761580756231,chr2,74779799,LOXL3|DOK1,5'UTR;5'UTR;5'UTR,N_Shore,2,FALSE,""
cg07114310,0.181530505165731,0.000120475611723733,0.766761580756231,chr7,51538921,"","",OpenSea,0,FALSE,""
cg09024239,-0.0401214980781646,0.000121409521420654,0.766761580756231,chr19,16608038,C19orf44|CALR3,5'UTR;5'UTR;TSS1500,S_Shore,2,FALSE,""
cg07226396,-0.082695136994657,0.000121612387834428,0.766761580756231,chr20,60813456,OSBPL2,TSS200;TSS200,Island,1,FALSE,""
cg22906796,-0.0574394489591459,0.000121936003001288,0.766761580756231,chr14,70650823,SLC8A3,Body;5'UTR;5'UTR;5'UTR;5'UTR,OpenSea,1,FALSE,""
cg02393092,-0.0518580275421535,0.000123267748167591,0.766761580756231,chr9,131444897,SET,TSS1500,OpenSea,1,FALSE,""
cg12462705,0.0742423681956341,0.000124771354102144,0.766761580756231,chr5,172656581,"","",S_Shore,0,FALSE,""
cg00257878,-0.0691143839351439,0.000125953381152672,0.766761580756231,chr7,54827094,SEC61G,TSS200;TSS200,Island,1,FALSE,""
cg00493609,0.0831524516185517,0.000126828641665231,0.766761580756231,chr16,13704393,"","",OpenSea,0,FALSE,""
cg18545915,0.0736477414316948,0.000128703661015553,0.766761580756231,chr14,24867261,NYNRIN,TSS1500,N_Shore,1,FALSE,""
cg16210397,-0.0779270734014291,0.000130723950293871,0.766761580756231,chr6,30585548,MRPS18B|PPP1R10,5'UTR;1stExon;TSS1500,Island,2,FALSE,""
cg02261695,-0.110901552355184,0.000130868816842405,0.766761580756231,chr8,144855099,"","",S_Shore,0,FALSE,""
cg00706371,-0.0609382777548406,0.000131791666514059,0.766761580756231,chr16,49512158,"","",OpenSea,0,FALSE,""
cg02684341,0.0887439667611932,0.000132219386598947,0.766761580756231,chr13,21644106,"","",OpenSea,0,FALSE,""
cg10422167,0.0717994835227869,0.000132946371651992,0.766761580756231,chr17,936550,ABR,TSS1500;Body;Body;Body;Body,S_Shore,1,FALSE,""
cg17261979,0.0785454676919694,0.000133449899295761,0.766761580756231,chr6,44492923,"","",OpenSea,0,FALSE,""
cg21307110,0.0626984186090471,0.000134734383367463,0.766761580756231,chr6,7271429,"","",S_Shelf,0,FALSE,""
cg24126247,0.0602410447978775,0.000137273256815969,0.766761580756231,chr5,171710907,UBTD2,TSS200,N_Shore,1,FALSE,""
cg13453819,-0.0588977939819844,0.000137612743008122,0.766761580756231,chr14,35099477,SNX6,TSS200;TSS200,Island,1,FALSE,""
cg01400490,0.0642847372677411,0.000139625750424956,0.766761580756231,chr12,30590107,"","",OpenSea,0,FALSE,""
cg17532822,0.0738691520225225,0.00014170562498437,0.766761580756231,chr16,28948046,CD19,Body;Body,Island,1,FALSE,""
cg03235972,-0.0632894569259675,0.000142555007703485,0.766761580756231,chr5,79287118,MTX3|THBS4,TSS200;TSS200;1stExon;1stExon;5'UTR;5'UTR,Island,2,FALSE,""
cg18192200,0.090248538483044,0.000142996002192614,0.766761580756231,chr22,23658966,BCR,3'UTR;3'UTR,OpenSea,1,FALSE,""
cg16613243,0.118998926577445,0.000143169231337438,0.766761580756231,chr19,51205190,SHANK1,Body,OpenSea,1,FALSE,""
cg16362305,-0.0517810467440337,0.000145042057653653,0.766761580756231,chr1,245855541,KIF26B,Body,S_Shelf,1,FALSE,""
cg27270590,0.0661514795395095,0.000145866525019817,0.766761580756231,chr6,151685487,ZBTB2,3'UTR,OpenSea,1,FALSE,""
cg10142878,0.0774570996751552,0.000146007271180236,0.766761580756231,chr1,65613392,AK3L1,5'UTR;TSS1500;TSS200,Island,1,FALSE,""
cg01622107,0.0656625992757854,0.000146949545150472,0.766761580756231,chr17,55633172,MSI2,Body;Body,OpenSea,1,FALSE,""
cg01571001,-0.120496427470513,0.000147827505962578,0.766761580756231,chr3,128215433,"","",Island,0,FALSE,""
cg07485777,-0.0710537673888261,0.000149131468620024,0.766761580756231,chr4,165952835,TRIM60,TSS1500,OpenSea,1,FALSE,""
cg01755539,0.0450072779189235,0.000149304135648299,0.766761580756231,chr16,27215246,JMJD5,5'UTR;TSS200,Island,1,FALSE,""
cg26693529,0.0942908695380495,0.000149606450017416,0.766761580756231,chr2,20101779,TTC32,TSS200,Island,1,FALSE,""
cg13838055,0.234579619818424,0.000149625864713741,0.766761580756231,chr19,44645352,ZNF234,TSS1500;TSS1500,N_Shore,1,FALSE,""
cg25718645,-0.0722423541828787,0.000150866142600041,0.766761580756231,chr2,217124214,MARCH4,Body,OpenSea,1,FALSE,""
cg17854497,0.0739359258762242,0.000150933946960645,0.766761580756231,chr10,13390774,SEPHS1,TSS1500,OpenSea,1,FALSE,""
cg08772789,0.0650826302896725,0.000151636013720299,0.766761580756231,chr17,75318655,SEPT9,5'UTR;Body;Body,OpenSea,1,FALSE,""
cg24239364,0.057117139140569,0.000152736015843164,0.766761580756231,chr1,204258211,PLEKHA6,5'UTR,OpenSea,1,FALSE,""
cg20451986,0.0786213991071251,0.000155184706774177,0.766761580756231,chr11,133928302,"","",OpenSea,0,FALSE,""
cg18007850,0.0702569064077619,0.000155837959283826,0.766761580756231,chr3,10206537,IRAK2,TSS200,Island,1,FALSE,""
cg01620611,-0.0457061100728089,0.000155888522506513,0.766761580756231,chr17,71306145,CDC42EP4,5'UTR,N_Shore,1,FALSE,""
cg17864650,0.0724788578564601,0.000156954837037059,0.766761580756231,chr6,125540882,TPD52L1,5'UTR;Body;Body;Body,OpenSea,1,FALSE,""
cg17208740,-0.0642245886821636,0.00015751910962233,0.766761580756231,chr17,1011493,ABR,Body;Body;Body,N_Shore,1,FALSE,""
cg10540722,-0.105819459262705,0.000157599290088324,0.766761580756231,chr8,55437770,"","",OpenSea,0,FALSE,""
cg14414670,-0.0452747311069036,0.000157822335743374,0.766761580756231,chr2,46657122,LOC101805491,Body,OpenSea,1,FALSE,""
cg17289878,-0.0459687859042512,0.000159138916454884,0.766761580756231,chr10,71890881,AIFM2,5'UTR;5'UTR,N_Shore,1,FALSE,""
cg20625065,0.0319050977486042,0.00015990919546935,0.766761580756231,chr20,47537715,ARFGEF2,TSS1500,N_Shore,1,FALSE,""
cg03074244,0.0462155451401203,0.000162512705487681,0.766761580756231,chr11,118213414,CD3D,5'UTR;5'UTR;1stExon;1stExon,OpenSea,1,FALSE,""
cg21566642,-0.120013938108207,0.000164497571493512,0.766761580756231,chr2,233284661,"","",Island,0,FALSE,""
cg16279290,-0.0658030815038152,0.000166279867511528,0.766761580756231,chr11,70368624,SHANK2,Body;Body,OpenSea,1,FALSE,""
cg19031627,-0.0592012679329255,0.000166522743078087,0.766761580756231,chr11,6759760,"","",OpenSea,0,FALSE,""
cg07186599,0.0767013998164301,0.000166572181573071,0.766761580756231,chr9,38069328,SHB,TSS200,Island,1,FALSE,""
cg06108945,0.0970163124966051,0.000167923965700938,0.766761580756231,chr12,4349715,"","",OpenSea,0,FALSE,""
cg21612666,0.0930770543831433,0.000169234633498725,0.766761580756231,chr6,26537797,HMGN4,TSS1500,N_Shore,1,FALSE,""
cg13600480,0.0625114070669335,0.000169788374154787,0.766761580756231,chr7,102036675,PRKRIP1,TSS200,Island,1,FALSE,""
cg03508409,0.0901988090176494,0.000172465872526485,0.766761580756231,chr16,30662237,PRR14,TSS200,Island,1,FALSE,""
cg07277108,0.0829258156581784,0.000172760259845643,0.766761580756231,chr2,62452250,"","",OpenSea,0,FALSE,""
cg20603260,-0.0945668564494837,0.000172932046839413,0.766761580756231,chr3,49314539,C3orf62,TSS200,Island,1,FALSE,""
cg01709975,0.0410459795672052,0.000174151161681611,0.766761580756231,chr4,25847472,SEL1L3,Body,OpenSea,1,FALSE,""
cg26606542,-0.121751108439934,0.000175572217358152,0.766761580756231,chr1,44069535,PTPRF,Body;Body,N_Shore,1,FALSE,""
cg11288527,-0.0616471960201928,0.000176882193975616,0.766761580756231,chr17,63190467,RGS9,Body;Body;Body,OpenSea,1,FALSE,""
cg21702431,-0.10186165327645,0.00017698991776143,0.766761580756231,chr17,19617084,SLC47A2,Body;Body,Island,1,FALSE,""
cg23258897,0.0613321972885346,0.000177459068609693,0.766761580756231,chr12,64616284,C12orf66,TSS1500,Island,1,FALSE,""
cg09932135,-0.100720548267727,0.000179250193826013,0.766761580756231,chr1,11750569,MAD2L2|C1orf187,5'UTR;TSS1500,N_Shore,2,FALSE,""
cg20751345,0.0871838396770231,0.000179764866330046,0.766761580756231,chr6,30066428,"","",N_Shelf,0,FALSE,""
cg25908281,0.0946917056137806,0.000180015253959184,0.766761580756231,chr8,1934122,KBTBD11,5'UTR,OpenSea,1,FALSE,""
cg03450842,-0.0552896755714122,0.000182315019450296,0.766761580756231,chr10,80834947,ZMIZ1,5'UTR,OpenSea,1,FALSE,""
cg05414163,-0.0840248721549039,0.000183260188236427,0.766761580756231,chr17,57444356,YPEL2,Body,OpenSea,1,FALSE,""
cg25539979,0.0689643658857878,0.000183744379480048,0.766761580756231,chr15,74415439,"","",OpenSea,0,FALSE,""
cg11336938,0.0592208592348654,0.000183847724993201,0.766761580756231,chr6,31476279,MICB,Body,OpenSea,1,FALSE,""
cg01617617,0.0595707318609542,0.000184480171643647,0.766761580756231,chr3,97387955,EPHA6,Body,OpenSea,1,FALSE,""
cg24131748,0.0672284192855354,0.0001853232378541,0.766761580756231,chr14,31343699,COCH,TSS200;TSS200,Island,1,FALSE,""
cg12353549,-0.0730028422740516,0.000185456272308351,0.766761580756231,chr17,30771552,PSMD11,1stExon,Island,1,FALSE,""
cg02030353,0.123382142408316,0.000187009277419257,0.766761580756231,chr16,54436182,"","",OpenSea,0,FALSE,""
cg14217420,-0.0412710902896029,0.00018717558800695,0.766761580756231,chr5,35851725,"","",OpenSea,0,FALSE,""
cg19929151,0.0487632941755576,0.000188480728340818,0.766761580756231,chr16,75118055,ZNRF1,Body,OpenSea,1,FALSE,""
cg24959762,0.0867088523506049,0.000188674828747009,0.766761580756231,chr19,19717214,PBX4,Body;Body,OpenSea,1,FALSE,""
cg19413705,-0.0425646685901457,0.000189400378393648,0.766761580756231,chr16,5293611,"","",S_Shelf,0,FALSE,""
cg07624008,-0.0599232372116368,0.000190606860230761,0.766761580756231,chr19,33672378,"","",S_Shelf,0,FALSE,""
cg06688411,-0.046825132030315,0.00019143137747443,0.766761580756231,chr11,65153958,FRMD8,TSS200,Island,1,FALSE,""
cg21473786,0.0521377781386633,0.000192422124236789,0.766761580756231,chr2,44311918,"","",N_Shelf,0,FALSE,""
cg05832593,0.109419469443547,0.000194505366562324,0.766761580756231,chr5,76925380,OTP,3'UTR,N_Shore,1,FALSE,""
cg05379302,0.0870219156330281,0.000195759602538307,0.766761580756231,chr1,11540200,PTCHD2,5'UTR,Island,1,FALSE,""
cg14742940,-0.0844167656488176,0.000196854763532397,0.766761580756231,chr21,22599971,NCAM2,Body,OpenSea,1,FALSE,""
cg00388000,-0.0473708126916658,0.00019960455102847,0.766761580756231,chr4,168024180,SPOCK3,5'UTR;5'UTR;Body;Body;Body;Body;Body;Body;Body,OpenSea,1,FALSE,""
cg07360813,0.0539927070614312,0.000201821814268237,0.766761580756231,chr1,113056390,WNT2B,Body;5'UTR;Body,OpenSea,1,FALSE,""
cg01017235,0.114735674590491,0.000204764641089221,0.766761580756231,chr6,29713436,LOC285830,Body;Body,N_Shelf,1,FALSE,""
cg14102832,-0.0604075977128715,0.000205638262234868,0.766761580756231,chr19,12943497,RTBDN,Body,Island,1,FALSE,""
cg14611745,0.144074168640851,0.000205818045687283,0.766761580756231,chr1,227916287,LOC100130093,Body;Body,N_Shore,1,FALSE,""
cg19384852,-0.0665971468986822,0.000206618374345371,0.766761580756231,chr9,6758071,KDM4C,1stExon;1stExon;1stExon;1stExon;1stExon;5'UTR;5'UTR;5'UTR;5'UTR;Body;5'UTR;Body,Island,1,FALSE,""
